Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.01075488709671502,0
race,African-American,1,0.013809123253839987,0
race,Hispanic,0,0.008629026135084783,0
race,Caucasian,0,0.008560590666622053,0
race,Caucasian,1,0.007219331575931494,0
race,Other,0,0.007992178075400324,0
race,Other,1,0.013893932298250256,0
sex,male,0,0.010138612867003807,0
sex,male,1,0.012251103939873808,0
sex,female,0,0.007168451323523007,0
sex,female,1,0.007967873879198485,0
race,Other,0,0.010308012145202997,1
race,Caucasian,0,0.007691018452102211,1
race,Caucasian,1,0.012474537078639866,1
race,African-American,0,0.009348632663644208,1
race,African-American,1,0.014011502237284845,1
race,Hispanic,0,0.009324295328906166,1
race,Hispanic,1,0.01254118204787863,1
sex,male,0,0.009236030967919879,1
sex,male,1,0.014601129127178597,1
sex,female,0,0.006235332210215057,1
sex,female,1,0.0064426036433870935,1
race,African-American,0,0.00984848549148567,2
race,African-American,1,0.013581555485770957,2
race,Other,0,0.008036794639065401,2
race,Other,1,0.010135747988487341,2
race,Caucasian,0,0.008220032710398516,2
race,Caucasian,1,0.009185516725960274,2
race,Hispanic,0,0.008122786231259272,2
race,Hispanic,1,0.010595282880027382,2
sex,male,0,0.009413506431312026,2
sex,male,1,0.012319974251289442,2
sex,female,0,0.007324284842157853,2
sex,female,1,0.008013923229460176,2
race,African-American,0,0.007628080188616833,3
race,African-American,1,0.009878149066217614,3
race,Caucasian,1,0.010367232780763819,3
race,Caucasian,0,0.00708092939502775,3
race,Hispanic,0,0.006336657865269235,3
race,Hispanic,1,0.004400343052750479,3
race,Other,0,0.005290765518136862,3
race,Other,1,0.007942212818666238,3
sex,male,0,0.0073939699331542295,3
sex,male,1,0.010028831244589217,3
sex,female,0,0.006202425893877957,3
sex,female,1,0.007737223531807363,3
race,Caucasian,1,0.015816491253840378,4
race,Caucasian,0,0.00684832711168869,4
race,African-American,0,0.008593966154232316,4
race,African-American,1,0.011026939042384271,4
race,Hispanic,0,0.006924779368335988,4
race,Other,1,0.015586192844034187,4
race,Other,0,0.00822868810071705,4
sex,male,1,0.013162737384122129,4
sex,male,0,0.008187687698095355,4
sex,female,0,0.006918704596840967,4
sex,female,1,0.007326532773069528,4
