Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.7741935483870968,inf,217,0
race,African-American,0.5714285714285714,0.016216216216216217,0.9130434782608695,0.8051948051948052,14.0,231,1
race,African-American,0.0,0.005681818181818182,1.0,0.8064516129032258,41.0,217,2
race,African-American,1.0,0.0,0.9615384615384616,0.7797356828193832,inf,227,3
race,African-American,0.0,0.005050505050505051,1.0,0.8491379310344828,34.0,232,4
race,Asian,,0.0,1.0,0.5,inf,2,0
race,Asian,,0.0,,1.0,,3,2
race,Caucasian,,0.0,1.0,0.8473282442748091,inf,131,0
race,Caucasian,0.6666666666666666,0.011111111111111112,0.8947368421052632,0.8348623853211009,17.0,109,1
race,Caucasian,,0.0,1.0,0.8536585365853658,inf,123,2
race,Caucasian,0.6666666666666666,0.009433962264150943,0.8947368421052632,0.856,17.0,125,3
race,Caucasian,0.0,0.020833333333333332,1.0,0.831858407079646,8.5,113,4
race,Hispanic,,0.0,1.0,0.8636363636363636,inf,22,0
race,Hispanic,,0.0,1.0,0.8064516129032258,inf,31,1
race,Hispanic,,0.0,1.0,0.9615384615384616,inf,26,2
race,Hispanic,,0.0,1.0,0.9545454545454546,inf,22,3
race,Hispanic,1.0,0.0,0.6666666666666666,0.9230769230769231,inf,26,4
race,Native American,,0.0,,1.0,,2,0
race,Native American,,0.0,,1.0,,1,2
race,Native American,,0.0,,1.0,,1,3
race,Other,,0.0,1.0,0.9411764705882353,inf,17,0
race,Other,,0.0,1.0,0.85,inf,20,1
race,Other,,0.0,1.0,0.8571428571428571,inf,21,2
race,Other,,0.0,1.0,0.75,inf,16,3
race,Other,,0.0,1.0,0.8421052631578947,inf,19,4
sex,female,,0.0,1.0,0.7982708933717579,inf,347,0
sex,female,0.6,0.01486988847583643,0.9104477611940298,0.8065476190476191,15.25,336,1
sex,female,0.0,0.0035211267605633804,1.0,0.8348082595870207,55.0,339,2
sex,female,0.8,0.0037174721189591076,0.9444444444444444,0.7976539589442815,68.0,341,3
sex,female,0.25,0.010309278350515464,0.9795918367346939,0.85,16.0,340,4
sex,male,,0.0,1.0,0.9090909090909091,inf,44,0
sex,male,,0.0,1.0,0.8727272727272727,inf,55,1
sex,male,,0.0,1.0,0.8461538461538461,inf,52,2
sex,male,,0.0,1.0,0.92,inf,50,3
sex,male,,0.0,1.0,0.84,inf,50,4
