Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5715039831077837,0
race,Hispanic,0.4578947368421053,0
race,Caucasian,0.48065476190476186,0
race,Other,0.6333333333333333,0
sex,male,0.5667184868506283,0
sex,female,0.429054054054054,0
race,Other,0.7250000000000001,1
race,Caucasian,0.5344516594516595,1
race,African-American,0.5646728016359918,1
race,Hispanic,0.5,1
sex,male,0.5675287356321839,1
sex,female,0.5665188470066518,1
race,African-American,0.5843066786463014,2
race,Other,0.5397727272727273,2
race,Caucasian,0.5950258769407706,2
race,Hispanic,0.625,2
sex,male,0.5627964056909892,2
sex,female,0.7294900221729491,2
race,African-American,0.5934758771929826,3
race,Caucasian,0.5737021599090565,3
race,Hispanic,0.6630434782608696,3
race,Other,0.5694444444444444,3
sex,male,0.6075641779345483,3
sex,female,0.49285714285714277,3
race,Caucasian,0.5997942386831276,4
race,African-American,0.538552036199095,4
race,Hispanic,0.6780303030303031,4
race,Other,0.8295454545454546,4
sex,male,0.5786713286713286,4
sex,female,0.625,4
